sample_id,source,n_runs,majority_risk,risk_consistency,id_jaccard_mean,reason_cosine_mean,anomaly_rate,risk_adjacent_consistency,score_std,score_mae
A,mock_dataset (另一 agent 產出),5,High,1.0,0.9333,0.8514,0.0,1.0,0.0,0
B,mock_dataset (另一 agent 產出),5,High,1.0,0.8,0.8317,0.0,1.0,0.0,0
C,mock_dataset (另一 agent 產出),5,High,1.0,0.85,0.8577,0.0,1.0,0.0,0
D,"self-made (符合 Graph API Schema,明確標註為自製)",5,High,1.0,1.0,0.9271,0.0,1.0,0.0,0
E,"self-made (符合 Graph API Schema,明確標註為自製)",5,High,1.0,0.8,0.7831,0.0,1.0,0.0,0
F,"self-made (符合 Graph API Schema,明確標註為自製)",5,Minimal,1.0,1.0,0.8873,0.0,1.0,0.0,0
